year,state,category,cases,lag_1,lag_2,rolling_mean_3,growth_rate,state_encoded,category_encoded
2021,ANDHRA PRADESH,piracy,6.0,0.0,4.0,3.3333333333333335,inf,1,9
2022,ANDHRA PRADESH,piracy,5.0,6.0,0.0,3.6666666666666665,-0.16666666666666663,1,9
2023,ANDHRA PRADESH,piracy,4.0,5.0,6.0,5.0,-0.19999999999999996,1,9
2016,ANDHRA PRADESH,political motive,0.0,0.0,0.0,0.0,0.0,1,10
2017,ANDHRA PRADESH,political motive,12.0,0.0,0.0,0.0,inf,1,10
2018,ANDHRA PRADESH,political motive,12.0,12.0,0.0,8.0,0.0,1,10
2019,ANDHRA PRADESH,political motive,88.0,12.0,12.0,37.333333333333336,6.333333333333333,1,10
2020,ANDHRA PRADESH,political motive,67.0,88.0,12.0,55.666666666666664,-0.23863636363636365,1,10
2021,ANDHRA PRADESH,political motive,36.0,67.0,88.0,63.666666666666664,-0.4626865671641791,1,10
2022,ANDHRA PRADESH,political motive,35.0,36.0,67.0,46.0,-0.02777777777777779,1,10
2023,ANDHRA PRADESH,political motive,34.0,35.0,36.0,35.0,-0.02857142857142858,1,10
2016,ANDHRA PRADESH,prank,0.0,0.0,0.0,0.0,0.0,1,11
2017,ANDHRA PRADESH,prank,0.0,0.0,0.0,0.0,0.0,1,11
2018,ANDHRA PRADESH,prank,0.0,0.0,0.0,0.0,0.0,1,11
2019,ANDHRA PRADESH,prank,5.0,0.0,0.0,1.6666666666666667,inf,1,11
2020,ANDHRA PRADESH,prank,2.0,5.0,0.0,2.3333333333333335,-0.6,1,11
2021,ANDHRA PRADESH,prank,0.0,2.0,5.0,2.3333333333333335,-1.0,1,11
2022,ANDHRA PRADESH,prank,0.0,0.0,2.0,0.6666666666666666,0.0,1,11
2023,ANDHRA PRADESH,prank,0.0,0.0,0.0,0.0,0.0,1,11
2016,ANDHRA PRADESH,sexual exploitation,7.0,0.0,0.0,0.0,0.0,1,12
2017,ANDHRA PRADESH,sexual exploitation,61.0,7.0,0.0,0.0,7.7142857142857135,1,12
2018,ANDHRA PRADESH,sexual exploitation,92.0,61.0,7.0,53.333333333333336,0.5081967213114753,1,12
2019,ANDHRA PRADESH,sexual exploitation,84.0,92.0,61.0,79.0,-0.08695652173913049,1,12
2020,ANDHRA PRADESH,sexual exploitation,169.0,84.0,92.0,115.0,1.0119047619047619,1,12
2021,ANDHRA PRADESH,sexual exploitation,139.0,169.0,84.0,130.66666666666666,-0.1775147928994083,1,12
2022,ANDHRA PRADESH,sexual exploitation,189.0,139.0,169.0,165.66666666666666,0.3597122302158273,1,12
2023,ANDHRA PRADESH,sexual exploitation,239.0,189.0,139.0,189.0,0.26455026455026465,1,12
2017,ANDHRA PRADESH,terrorism,16.0,0.0,0.0,0.0,0.0,1,13
2018,ANDHRA PRADESH,terrorism,1.0,16.0,0.0,0.0,-0.9375,1,13
2019,ANDHRA PRADESH,terrorism,0.0,1.0,16.0,5.666666666666667,-1.0,1,13
2020,ANDHRA PRADESH,terrorism,0.0,0.0,1.0,0.3333333333333333,0.0,1,13
2021,ANDHRA PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,1,13
2022,ANDHRA PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,1,13
2023,ANDHRA PRADESH,terrorism,0.0,0.0,0.0,0.0,0.0,1,13
2017,ARUNACHAL PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,2,1
2018,ARUNACHAL PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,2,1
2019,ARUNACHAL PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,2,1
2020,ARUNACHAL PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,2,1
2021,ARUNACHAL PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,2,1
2022,ARUNACHAL PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,2,1
2023,ARUNACHAL PRADESH,abetment suicide,0.0,0.0,0.0,0.0,0.0,2,1
2016,ARUNACHAL PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,2,2
2017,ARUNACHAL PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,2,2
2018,ARUNACHAL PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,2,2
2019,ARUNACHAL PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,2,2
2020,ARUNACHAL PRADESH,data theft,2.0,0.0,0.0,0.6666666666666666,inf,2,2
2021,ARUNACHAL PRADESH,data theft,0.0,2.0,0.0,0.6666666666666666,-1.0,2,2
2022,ARUNACHAL PRADESH,data theft,0.0,0.0,2.0,0.6666666666666666,0.0,2,2
2023,ARUNACHAL PRADESH,data theft,0.0,0.0,0.0,0.0,0.0,2,2
2017,ARUNACHAL PRADESH,emotional motive,0.0,0.0,0.0,0.0,0.0,2,3
2018,ARUNACHAL PRADESH,emotional motive,0.0,0.0,0.0,0.0,0.0,2,3
2019,ARUNACHAL PRADESH,emotional motive,2.0,0.0,0.0,0.6666666666666666,inf,2,3
2020,ARUNACHAL PRADESH,emotional motive,0.0,2.0,0.0,0.6666666666666666,-1.0,2,3
2021,ARUNACHAL PRADESH,emotional motive,5.0,0.0,2.0,2.3333333333333335,inf,2,3
2022,ARUNACHAL PRADESH,emotional motive,2.5,5.0,0.0,2.5,-0.5,2,3
2023,ARUNACHAL PRADESH,emotional motive,0.0,2.5,5.0,2.5,-1.0,2,3
2016,ARUNACHAL PRADESH,extortion,0.0,0.0,0.0,0.0,0.0,2,4
2017,ARUNACHAL PRADESH,extortion,0.0,0.0,0.0,0.0,0.0,2,4
2018,ARUNACHAL PRADESH,extortion,0.0,0.0,0.0,0.0,0.0,2,4
2019,ARUNACHAL PRADESH,extortion,1.0,0.0,0.0,0.3333333333333333,inf,2,4
2020,ARUNACHAL PRADESH,extortion,0.0,1.0,0.0,0.3333333333333333,-1.0,2,4
2021,ARUNACHAL PRADESH,extortion,2.0,0.0,1.0,1.0,inf,2,4
2022,ARUNACHAL PRADESH,extortion,1.0,2.0,0.0,1.0,-0.5,2,4
2023,ARUNACHAL PRADESH,extortion,0.0,1.0,2.0,1.0,-1.0,2,4
2017,ARUNACHAL PRADESH,fraud,0.0,0.0,0.0,0.0,0.0,2,5
2018,ARUNACHAL PRADESH,fraud,2.0,0.0,0.0,0.0,inf,2,5
2019,ARUNACHAL PRADESH,fraud,0.0,2.0,0.0,0.6666666666666666,-1.0,2,5
2020,ARUNACHAL PRADESH,fraud,26.0,0.0,2.0,9.333333333333334,inf,2,5
2021,ARUNACHAL PRADESH,fraud,8.0,26.0,0.0,11.333333333333334,-0.6923076923076923,2,5
2022,ARUNACHAL PRADESH,fraud,14.0,8.0,26.0,16.0,0.75,2,5
2023,ARUNACHAL PRADESH,fraud,20.0,14.0,8.0,14.0,0.4285714285714286,2,5
2016,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2017,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2018,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2019,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2020,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2021,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2022,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2023,ARUNACHAL PRADESH,hate crime,0.0,0.0,0.0,0.0,0.0,2,6
2016,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2017,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2018,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2019,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2020,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2021,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2022,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2023,ARUNACHAL PRADESH,illegal trade,0.0,0.0,0.0,0.0,0.0,2,7
2016,ARUNACHAL PRADESH,personal revenge,0.0,0.0,0.0,0.0,0.0,2,8
2017,ARUNACHAL PRADESH,personal revenge,0.0,0.0,0.0,0.0,0.0,2,8
2018,ARUNACHAL PRADESH,personal revenge,0.0,0.0,0.0,0.0,0.0,2,8
2019,ARUNACHAL PRADESH,personal revenge,2.0,0.0,0.0,0.6666666666666666,inf,2,8
2020,ARUNACHAL PRADESH,personal revenge,1.0,2.0,0.0,1.0,-0.5,2,8
2021,ARUNACHAL PRADESH,personal revenge,10.0,1.0,2.0,4.333333333333333,9.0,2,8
2022,ARUNACHAL PRADESH,personal revenge,5.0,10.0,1.0,5.333333333333333,-0.5,2,8
2023,ARUNACHAL PRADESH,personal revenge,0.0,5.0,10.0,5.0,-1.0,2,8
2016,ARUNACHAL PRADESH,piracy,0.0,0.0,0.0,0.0,0.0,2,9
2017,ARUNACHAL PRADESH,piracy,0.0,0.0,0.0,0.0,0.0,2,9
2018,ARUNACHAL PRADESH,piracy,0.0,0.0,0.0,0.0,0.0,2,9
