state,year,category,cases
ARUNACHAL PRADESH,2019,personal revenge,2.0
ARUNACHAL PRADESH,2019,piracy,1.0
ARUNACHAL PRADESH,2019,political motive,0.0
ARUNACHAL PRADESH,2019,prank,0.0
ARUNACHAL PRADESH,2019,sexual exploitation,0.0
ARUNACHAL PRADESH,2019,terrorism,0.0
ARUNACHAL PRADESH,2020,abetment suicide,0.0
ARUNACHAL PRADESH,2020,data theft,2.0
ARUNACHAL PRADESH,2020,emotional motive,0.0
ARUNACHAL PRADESH,2020,extortion,0.0
ARUNACHAL PRADESH,2020,fraud,26.0
ARUNACHAL PRADESH,2020,hate crime,0.0
ARUNACHAL PRADESH,2020,illegal trade,0.0
ARUNACHAL PRADESH,2020,personal revenge,1.0
ARUNACHAL PRADESH,2020,piracy,0.0
ARUNACHAL PRADESH,2020,political motive,0.0
ARUNACHAL PRADESH,2020,prank,0.0
ARUNACHAL PRADESH,2020,sexual exploitation,0.0
ARUNACHAL PRADESH,2020,terrorism,0.0
ARUNACHAL PRADESH,2021,abetment suicide,0.0
ARUNACHAL PRADESH,2021,data theft,0.0
ARUNACHAL PRADESH,2021,emotional motive,5.0
ARUNACHAL PRADESH,2021,extortion,2.0
ARUNACHAL PRADESH,2021,fraud,8.0
ARUNACHAL PRADESH,2021,hate crime,0.0
ARUNACHAL PRADESH,2021,illegal trade,0.0
ARUNACHAL PRADESH,2021,personal revenge,10.0
ARUNACHAL PRADESH,2021,piracy,0.0
ARUNACHAL PRADESH,2021,political motive,0.0
ARUNACHAL PRADESH,2021,prank,0.0
ARUNACHAL PRADESH,2021,sexual exploitation,4.0
ARUNACHAL PRADESH,2021,terrorism,0.0
ARUNACHAL PRADESH,2023,abetment suicide,0.0
ARUNACHAL PRADESH,2023,data theft,0.0
ARUNACHAL PRADESH,2023,emotional motive,0.0
ARUNACHAL PRADESH,2023,extortion,0.0
ARUNACHAL PRADESH,2023,fraud,20.0
ARUNACHAL PRADESH,2023,hate crime,0.0
ARUNACHAL PRADESH,2023,illegal trade,0.0
ARUNACHAL PRADESH,2023,personal revenge,0.0
ARUNACHAL PRADESH,2023,piracy,0.0
ARUNACHAL PRADESH,2023,political motive,0.0
ARUNACHAL PRADESH,2023,prank,0.0
ARUNACHAL PRADESH,2023,sexual exploitation,0.0
ARUNACHAL PRADESH,2023,terrorism,0.0
ASSAM,2016,data theft,0.0
ASSAM,2016,extortion,59.0
ASSAM,2016,hate crime,5.0
ASSAM,2016,illegal trade,0.0
ASSAM,2016,personal revenge,329.0
ASSAM,2016,piracy,0.0
ASSAM,2016,political motive,10.0
ASSAM,2016,prank,1.0
ASSAM,2016,sexual exploitation,41.0
ASSAM,2017,abetment suicide,0.0
ASSAM,2017,data theft,3.0
ASSAM,2017,emotional motive,83.0
ASSAM,2017,extortion,65.0
ASSAM,2017,fraud,48.0
ASSAM,2017,hate crime,2.0
ASSAM,2017,illegal trade,0.0
ASSAM,2017,personal revenge,246.0
ASSAM,2017,piracy,0.0
ASSAM,2017,political motive,10.0
ASSAM,2017,prank,40.0
ASSAM,2017,sexual exploitation,217.0
ASSAM,2017,terrorism,88.0
ASSAM,2018,abetment suicide,0.0
ASSAM,2018,data theft,0.0
ASSAM,2018,emotional motive,46.0
ASSAM,2018,extortion,153.0
ASSAM,2018,fraud,389.0
ASSAM,2018,hate crime,3.0
ASSAM,2018,illegal trade,0.0
ASSAM,2018,personal revenge,239.0
ASSAM,2018,piracy,0.0
ASSAM,2018,political motive,9.0
ASSAM,2018,prank,0.0
ASSAM,2018,sexual exploitation,113.0
ASSAM,2018,terrorism,4.0
ASSAM,2019,abetment suicide,0.0
ASSAM,2019,data theft,0.0
ASSAM,2019,emotional motive,263.0
ASSAM,2019,extortion,518.0
ASSAM,2019,fraud,243.0
ASSAM,2019,hate crime,3.0
ASSAM,2019,illegal trade,0.0
ASSAM,2019,personal revenge,555.0
ASSAM,2019,piracy,0.0
ASSAM,2019,political motive,16.0
ASSAM,2019,prank,14.0
ASSAM,2019,sexual exploitation,289.0
ASSAM,2019,terrorism,54.0
ASSAM,2020,abetment suicide,0.0
ASSAM,2020,data theft,0.0
ASSAM,2020,emotional motive,164.0
ASSAM,2020,extortion,447.0
ASSAM,2020,fraud,242.0
ASSAM,2020,hate crime,58.0
ASSAM,2020,illegal trade,0.0
ASSAM,2020,personal revenge,654.0
ASSAM,2020,piracy,0.0
ASSAM,2020,political motive,24.0
ASSAM,2020,prank,35.0
ASSAM,2020,sexual exploitation,483.0
ASSAM,2020,terrorism,0.0
ASSAM,2021,abetment suicide,0.0
ASSAM,2021,data theft,0.0
ASSAM,2021,emotional motive,144.0
ASSAM,2021,extortion,496.0
ASSAM,2021,fraud,704.0
ASSAM,2021,hate crime,12.0
ASSAM,2021,illegal trade,10.0
ASSAM,2021,personal revenge,802.0
ASSAM,2021,piracy,0.0
ASSAM,2021,political motive,112.0
ASSAM,2021,prank,34.0
ASSAM,2021,sexual exploitation,1147.0
ASSAM,2021,terrorism,3.0
ASSAM,2023,abetment suicide,0.0
ASSAM,2023,data theft,0.0
ASSAM,2023,emotional motive,89.0
ASSAM,2023,extortion,132.0
ASSAM,2023,fraud,138.0
ASSAM,2023,hate crime,0.0
ASSAM,2023,illegal trade,0.0
ASSAM,2023,personal revenge,174.0
ASSAM,2023,piracy,2.0
ASSAM,2023,political motive,3.0
ASSAM,2023,prank,6.0
ASSAM,2023,sexual exploitation,59.0
ASSAM,2023,terrorism,0.0
BIHAR,2016,data theft,0.0
BIHAR,2016,extortion,1.0
BIHAR,2016,hate crime,0.0
BIHAR,2016,illegal trade,1.0
BIHAR,2016,personal revenge,91.0
BIHAR,2016,piracy,0.0
BIHAR,2016,political motive,3.0
BIHAR,2016,prank,0.0
BIHAR,2016,sexual exploitation,6.0
BIHAR,2017,abetment suicide,0.0
BIHAR,2017,data theft,0.0
BIHAR,2017,emotional motive,5.0
BIHAR,2017,extortion,3.0
BIHAR,2017,fraud,397.0
BIHAR,2017,hate crime,0.0
BIHAR,2017,illegal trade,0.0
BIHAR,2017,personal revenge,12.0
